"1st Test. 79.6: R Ashwin to S O'Keefe (0), 4 runs, 264/8 https://t.co/Px6Gu2Qz1R #IndvAus @Paytm"
"3rd Test. 84.1: N Lyon to C Pujara (80), 4 runs, 240/3 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"2nd Test. 29.4: WICKET! M Starc (1) is out, b Ravichandran Ashwin, 103/7 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 100.2: N Lyon to K Nair (13), 4 runs, 307/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
OUT or NOT OUT ? Richard Kettleborough thought it was out. What do you think ? #Virat @Paytm #INDvAUS https://t.co/ytG40lfuwt
"2nd Test. 14.6: WICKET! S Marsh (9) is out, lbw Umesh Yadav, 67/3 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"80.4: WICKET! V Kohli (6) is out, c Steve Smith b Pat Cummins, 225/3 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 74.3: S O'Keefe to C Pujara (48), 4 runs, 202/2 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"RT @ImRo45: Great going Team India, Pujara &amp; Saha brilliant stuff. Another good hour after tea and we should be in a strong position in thi…"
"2nd Test. 33.5: WICKET! V Kohli (12) is out, lbw Nathan Lyon, 88/3 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
VIDEO:The ultimate @msdhoni- @DeepDasgupta7/@sanjaymanjrekar- @Wriddhipops- @imjadeja run-out package… https://t.co/uxgz5k4mU0
"3rd Test. 185.2: N Lyon to W Saha (96), 4 runs, 498/6 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
.@cheteshwar1 on what went into the making of a Ranchi epic. Interview by @28anand https://t.co/jvmkMdGQCK #INDvAUS https://t.co/WH8zIhhnVx
"101.2: WICKET! G Maxwell (104) is out, c Wriddhiman Saha b Ravindra Jadeja, 331/5"
"9.1: WICKET! D Warner (17) is out, lbw Ravichandran Ashwin, 42/2 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"1st Test. 77.4: R Ashwin to M Starc (30), 6 runs, 258/7 https://t.co/Px6Gu2Qz1R #IndvAus @Paytm"
VIDEO: Presenting the @ashwinravi99 - @cheteshwar1 rendezvous https://t.co/6JHPW1SNgG #INDvAUS
"2nd Test. 3.4: R Ashwin to D Warner (8), 4 runs, 22/0 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"2nd Test. 21.1: WICKET! D Warner (33) is out, b Ravichandran Ashwin, 52/1 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 15.5: R Jadeja to S Smith (12), 4 runs, 68/1 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
Both teams have moved on from Bangalore. The focus should be back on the series. Priority is cricket: India captain… https://t.co/n9i2TYkuLi
"57.2: WICKET! K Nair (26) is out, st Matthew Wade b Steve O'Keefe, 156/5 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"85.2: WICKET! C Pujara (92) is out, c Mitchell Marsh b Josh Hazlewood, 242/7"
"3rd Test. 163.1: P Cummins to W Saha (67), 4 runs, 448/6 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"2nd Test. 71.1: M Starc to C Pujara (78), 4 runs, 212/4 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 8.5: S O'Keefe to L Rahul (22), 4 runs, 24/0 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 80.2: P Cummins to C Pujara (63), 4 runs, 222/2 https://t.co/d3NMQQU2fD #IndvAus @Paytm"
"97.1: WICKET! I Sharma (6) is out, c Shaun Marsh b Steve O'Keefe, 274 all out"
"#TeamIndia batsman @ImRo45 on the 'frustrating' times, importance of staying positive &amp; more..Interview by @28anand… https://t.co/D0LX6vdnqm"
#Naman https://t.co/JpxvBwDGkv
"3rd Test. 113.5: R Jadeja to M Wade (34), 4 runs, 391/5 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"2nd Test. 52.3: M Starc to K Nair (10), 4 runs, 135/4 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 72.3: U Yadav to S Marsh (43), 4 runs, 156/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"2nd Test. 16.6: J Hazlewood to L Rahul (36), 4 runs, 48/1 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 65.4: J Hazlewood to C Pujara (32), 4 runs, 173/1 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
Applause all around as @Wriddhipops brings up his 50 #INDvAUS https://t.co/kqYWeIFY0J
.@karun126 getting a few hits in the nets. First the calm and then the flourish #TeamIndia #INDvAUS https://t.co/D7gc0dnahZ
"2nd Test. 14.6: J Hazlewood to L Rahul (29), 4 runs, 34/1 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"Australia win the 1st @Paytm Test match by 333 runs, lead the 4-match Test series 1-0 #INDvAUS https://t.co/TU8hUWqjPK"
"2nd Test. 59.3: R Ashwin to M Renshaw (48), 4 runs, 113/2 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"2nd Test. 44.2: J Hazlewood to A Rahane (12), 4 runs, 144/4 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"RT @chopraanjum: Picture says it all.Grit,determination, focus and acknowledgement of the hard work.Double hundred for @cheteshwar1 #IndvAu…"
#TeamIndia have won the toss and will bat first - Abhinav Mukund and @karun126 in place of Vijay &amp; Jayant Yadav… https://t.co/10AKvKjbMa
"3rd Test. 25.2: R Ashwin to P Handscomb (4), 4 runs, 93/3 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"2nd Test. 34.2: WICKET! S O'Keefe (2) is out, b Ravindra Jadeja, 110/8 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"1st Test. 83.4: WICKET! N Lyon (13) is out, lbw Umesh Yadav, 279/9 https://t.co/Px6Gu2Qz1R #IndvAus @Paytm"
"3rd Test. 63.5: S O'Keefe to M Vijay (65), 4 runs, 160/1 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 69.1: J Hazlewood to C Pujara (38), 4 runs, 189/1 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
Target practice - @ImIshant in action #INDvAUS #TeamIndia @Paytm Test cricket https://t.co/OEUK8ZngWo
Back to the grind. Captain @imVkohli warming up at the nets #TeamIndia #INDvAUS https://t.co/ervGO2CQqf
Australia have won the toss and will bat first. One change for #TeamIndia - Vijay comes in place of Mukund #INDvAUS https://t.co/nQDXO9eoRg
"3rd Test. 152.1: N Lyon to W Saha (48), 6 runs, 415/6 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"137.3: WICKET! J Hazlewood (0) is out, run out (Lokesh Rahul/Ravindra Jadeja), 451 all out"
The pitch getting some attendance this morning #INDvAUS @Paytm Test cricket https://t.co/XkdXee6gIM
"3rd Test. 123.1: R Jadeja to S Smith (161), 4 runs, 414/7 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 115.6: WICKET! P Cummins (0) is out, b Ravindra Jadeja, 395/7 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
".@mvj888 is at the verge of playing his landmark Test tomorrow &amp; is eager to make it a memorable one,writes… https://t.co/c4JFzZTR3t"
"Ever seen @anilkumble1074 bowl left-arm spin? Answers to the ""why"" on https://t.co/uKFHYdKZLG soon #TeamIndia… https://t.co/wozleY5Ufb"
"3rd Test. 93.1: I Sharma to G Maxwell (91), 4 runs, 314/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
Caption this.. #INDvAUS https://t.co/GGz4jhvXp7
"2nd Test. 0.1: M Starc to L Rahul (4), 4 runs, 4/0 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"#ThisDayThatYear - In 1915, former #TeamIndia Captain Vijay Hazare was born. He averaged 47.65 from 30 Tests. https://t.co/NAFyy27yE6"
"33.5: WICKET! J Yadav (5) is out, c Matthew Wade b Nathan Lyon, 107 all out"
"2nd Test. 84.3: WICKET! A Rahane (52) is out, lbw Mitchell Starc, 238/5 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 72.4: R Ashwin to G Maxwell (44), 4 runs, 233/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"1st Test. 81.6: R Ashwin to N Lyon (13), 6 runs, 279/8 https://t.co/Px6Gu2Qz1R #IndvAus @Paytm"
"1st Test. 23.5: N Lyon to R Ashwin (5), 4 runs, 86/4 https://t.co/Px6Gu2Qz1R #IndvAus @Paytm"
NEWS ALERT - Captain Virat Kohli recuperating from shoulder strain. Relevant investigations have revealed that ther… https://t.co/oxPRrjbLKR
From the @cheteshwar1 book of batting #INDvAUS #TeamIndia https://t.co/sYQjU3OG2O
